"Officename","pincode","officeType","Deliverystatus","divisionname","Region name","Circlename","Taluk","Districtname","State name","pricing_code"
"Gandhi Nagar S.O (East Delhi)","110031","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Jhilmil H.O","110095","H.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Patparganj S.O","110091","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Karawal Nagar S.O","110090","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Laxmi Nagar S.O (East Delhi)","110092","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Gokal Puri S.O","110094","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Nand Nagri ""C"" S.O","110093","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Seelampur S.O","110053","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Krishna Nagar H.O","110051","H.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Shahdara S.O","110032","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Vasundhra Enclave S.O","110096","S.O","Delivery","Delhi East","Delhi","Delhi","NA","East Delhi","DELHI","DLH"
"Delhi G.P.O. ","110006","H.O","Delivery","Delhi GPO","Delhi","Delhi","Delhi","North Delhi","DELHI","DLH"
"Alipur S.O","110036","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Hareveli B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Khera Khurd B.O","110082","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Mubarak Pur Dabas B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Nangal Thakran B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Narela S.O","110040","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Palla B.O","110036","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Pooth Kalan B.O","110086","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Qutabagarh B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Rani Khera B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Jharoda Majraa B.O","110084","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North Delhi","DELHI","DLH"
"Nizampur B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Pooth Khurd B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Shalamar B.O","110088","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Siraspur B.O","110042","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Begumpur B.O","110086","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Lad Pur B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Malka Ganj S.O","110007","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North Delhi","DELHI","DLH"
"Singhu B.O","110040","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Bakhtawar Pur B.O","110036","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Bankner B.O","110040","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Burari S.O","110084","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North Delhi","DELHI","DLH"
"Karala B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Lampur B.O","110040","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"N.S.Mandi S.O","110033","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Naya Bans B.O","110082","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Shalimar Bagh S.O (North West Delhi)","110088","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Gheora B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Jaunti B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Kanya Gurukul B.O","110040","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Khampur B.O","110036","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Punjab Khor B.O","110081","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Saraswati Vihar S.O","110034","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Sultanpuri C Block S.O","110086","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Tajpur Kalan B.O","110036","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Ashok Vihar H.O","110052","H.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Ghoga B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Holambi Kalan B.O","110082","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Jagatpur B.O","110084","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North Delhi","DELHI","DLH"
"Jat Khore B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Kadipur B.O","110036","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Khera Kalan S.O","110082","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Rohini Sector-7 S.O","110085","S.O","Delivery","Delhi North","Delhi","Delhi","NA","North West Delhi","DELHI","DLH"
"Samai Pur S.O","110042","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Barwala B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Kanjhawla S.O","110081","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Onkar Nagar S.O","110035","S.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Pehlad Pur B.O","110042","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
"Rohini Sector 15 S.O","110089","S.O","Delivery","Delhi North","Delhi","Delhi","NA","North West Delhi","DELHI","DLH"
"Auchandi B.O","110039","B.O","Delivery","Delhi North","Delhi","Delhi","Delhi","North West Delhi","DELHI","DLH"
