"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","MAC"
"Alikash B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Pubchamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Amgaon B.O","781026","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Assam Tribune S.O","781003","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Barbaka B.O","781030","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bezera Block","Kamrup","ASSAM","MAC"
"Bhogpur B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Binovanagar S.O","781018","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Birpara B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon ( Boko)","Kamrup","ASSAM","MAC"
"Borni B.O","781102","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dhengargaon B.O","781125","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block","Kamrup","ASSAM","MAC"
"Dhirenpara B.O","781025","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Durapara B.O","781123","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Gopalpur B.O","781354","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Rangia Block","Kamrup","ASSAM","MAC"
"Goreswar S.O","781366","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Guwahati G.P.O. ","781001","H.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Indrapur S.O","781032","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Khetri S.O (Kamrup)","782403","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Loharghat B.O","781120","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block ( Chainibardua","Kamrup","ASSAM","MAC"
"Mahtoli B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Malaybari B.O","782403","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Malibaripathar B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Mandira B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Mirza S.O","781125","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Jharobari Block","Kamrup","ASSAM","MAC"
"Naitar B.O","781127","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chamaria","Kamrup","ASSAM","MAC"
"Nawkata B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Nizmanakuchi B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Noonmati S.O","781020","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Odalbakra S.O","781034","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Pacharia B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Pachia B.O","781135","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Boko","Kamrup","ASSAM","MAC"
"Ramgaon B.O","781364","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Rehabari S.O","781008","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Santipur B.O","781141","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Bongaon","Kamrup","ASSAM","MAC"
"Saukuchi B.O","781034","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Siliguri B.O","781103","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Silpukhuri S.O","781003","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Soalkuchi S.O","781103","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Soalkuchi Block","Kamrup","ASSAM","MAC"
"Sonai Kamalajari B.O","782402","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Sonapur Block","Kamrup","ASSAM","MAC"
"Toparpathar B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","P. Chamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Tukrapara B.O","781137","B.O","Delivery","Guwahati","Guwahati HQ","Assam","P. Chamaria ( Goroimari Block)","Kamrup","ASSAM","MAC"
"Azara S.O","781017","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Bamunigaon S.O (Kamrup)","781141","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaon Pantan","Kamrup","ASSAM","MAC"
"Beltola S.O","781028","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Betna B.O","781366","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goreswar Block","Kamrup","ASSAM","MAC"
"Bhauriabhita B.O","781136","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Goroimari","Kamrup","ASSAM","MAC"
"Borakhat B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Chandrapur Mills B.O","781150","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chandrapur Block","Kamrup","ASSAM","MAC"
"Choudhurykhat B.O","781141","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaon Pantan","Kamrup","ASSAM","MAC"
"Dadara B.O","781104","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dihina B.O","781382","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Hajo Block","Kamrup","ASSAM","MAC"
"Dispur S.O","781005","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Fancy Bazar S.O","781001","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Ghoramara B.O","781124","B.O","Delivery","Guwahati","Guwahati HQ","Assam","Chhaygaonpantan","Kamrup","ASSAM","MAC"
"Gotanagar S.O","781011","S.O","Non-Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Guwahati Airport S.O","781015","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Guwahati University H.O","781014","H.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
"Hahimbazar S.O","781129","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Luki ( Boko Block)","Kamrup","ASSAM","MAC"
"I I T S.O","781039","S.O","Delivery","Guwahati","Guwahati HQ","Assam","Gmc","Kamrup","ASSAM","MAC"
