"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Antop Hill S.O","400037","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Dadar H.O","400014","H.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Sewri S.O","400015","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"V J B Udyan S.O","400027","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Chinchbunder H.O","400009","H.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Parel S.O","400012","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Tank Road S.O","400033","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Mazgaon S.O","400010","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Wadala S.O","400031","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Mandvi S.O (Mumbai)","400003","S.O","Delivery","Mumbai  East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Andheri Railway Station S.O","400058","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"J.B. Nagar S.O","400059","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vesava S.O","400061","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vileeparle (East) S.O","400057","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Khar Delivery S.O","400052","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Andheri East S.O","400069","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bandra West S.O","400050","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Chakala Midc S.O","400093","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Sahar P & T Colony S.O","400099","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vidyanagari S.O","400098","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Vileparle(West) S.O","400056","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bandra(East) S.O","400051","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz P&t Colony S.O","400029","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz(West) S.O","400054","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Seepz S.O","400096","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Azad Nagar S.O (Mumbai)","400053","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Juhu S.O","400049","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Santacruz(East) S.O","400055","S.O","Delivery","Mumbai  North","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Bhandup West S.O","400078","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Ghatkopar West S.O","400086","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Mulund West S.O","400080","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Bhandup Complex S.O","400082","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"FCI S.O","400074","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"NITIE S.O","400087","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","Mumbai","Mumbai","MAHARASHTRA","STC"
"Pant Nagar S.O","400075","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Rajawadi S.O","400077","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Sakinaka S.O","400072","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Vikhroli S.O","400079","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
"Anushakti Nagar S.O","400094","S.O","Delivery","Mumbai  North East","Mumbai","Maharashtra","NA","Mumbai","MAHARASHTRA","STC"
